caso;td;npr;autor;fecha;titulo;fuente;cara;et;sa.autor;sa.fecha;sa.titulo;sa.fuente;sa.et;dc
1;1;1;1;0;1;1;158;3;1;0;1;1;3;-100
2;1;2;1;1;0;1;301;3;2;1;1;2;6;43
3;1;3;1;0;0;1;232;2;3;1;1;3;8;-26
4;1;4;1;0;0;1;247;2;4;1;1;4;10;-11
5;1;5;1;1;0;1;260;3;5;2;1;5;13;2
6;1;6;1;1;1;1;188;4;6;3;2;6;17;-70
7;1;7;1;1;0;1;273;3;7;4;2;7;20;15
8;1;8;1;0;0;1;230;2;8;4;2;8;22;-28
9;1;9;1;0;0;1;232;2;9;4;2;9;24;-26
10;1;10;1;1;0;1;238;3;10;5;2;10;27;-20
11;1;11;0;1;0;1;258;2;10;6;2;11;29;0
12;1;12;1;0;0;1;232;2;11;6;2;12;31;-26
13;1;13;0;0;0;1;250;1;11;6;2;13;32;-8
14;1;14;1;1;0;1;219;3;12;7;2;14;35;-39
15;1;15;0;0;0;1;245;1;12;7;2;15;36;-13
16;1;16;0;1;0;1;253;2;12;8;2;16;38;-5
17;1;17;1;1;0;1;246;3;13;9;2;17;41;-12
18;1;18;1;0;0;1;232;2;14;9;2;18;43;-26
19;1;19;1;1;1;1;276;4;15;10;3;19;47;18
20;1;20;1;1;1;1;277;4;16;11;4;20;51;19
21;1;21;1;1;1;1;247;4;17;12;5;21;55;-11
22;1;22;1;1;1;1;249;4;18;13;6;22;59;-9
23;1;23;0;0;0;1;262;1;18;13;6;23;60;4
24;1;24;0;1;0;1;246;2;18;14;6;24;62;-12
25;1;25;1;1;0;1;252;3;19;15;6;25;65;-6
26;1;27;1;1;1;1;266;4;20;16;7;26;69;8
27;1;28;0;0;0;1;254;1;20;16;7;27;70;-4
28;1;29;0;0;0;1;262;1;20;16;7;28;71;4
29;1;30;1;0;0;1;252;2;21;16;7;29;73;-6
30;1;31;1;0;0;1;250;2;22;16;7;30;75;-8
31;1;32;1;0;1;1;262;3;23;16;8;31;78;4
32;1;33;0;0;0;0;258;0;23;16;8;31;78;0
33;2;1;1;1;1;1;366;4;1;1;1;1;4;2
34;2;2;0;0;1;0;365;1;1;1;2;1;5;1
35;2;3;0;0;1;0;364;1;1;1;3;1;6;0
36;2;4;0;0;0;1;361;1;1;1;3;2;7;-3
37;2;5;0;0;1;1;352;2;1;1;4;3;9;-12
38;2;6;1;1;1;1;352;4;2;2;5;4;13;-12
39;2;7;1;0;1;0;359;2;3;2;6;4;15;-5
40;2;8;0;0;0;1;364;1;3;2;6;5;16;0
41;2;9;1;1;1;1;349;4;4;3;7;6;20;-15
42;2;10;0;0;0;0;364;0;4;3;7;6;20;0
43;3;1;1;0;1;1;138;3;1;0;1;1;3;-153
44;3;2;0;0;0;1;253;1;1;0;1;2;4;-38
45;3;3;0;0;0;1;249;1;1;0;1;3;5;-42
46;3;4;0;0;0;1;253;1;1;0;1;4;6;-38
47;3;5;0;0;0;1;254;1;1;0;1;5;7;-37
48;3;6;0;0;0;1;253;1;1;0;1;6;8;-38
49;3;7;0;0;0;1;249;1;1;0;1;7;9;-42
50;3;8;0;0;0;1;246;1;1;0;1;8;10;-45
51;3;9;1;0;0;1;244;2;2;0;1;9;12;-47
52;3;10;0;0;0;1;264;1;2;0;1;10;13;-27
53;3;11;0;0;0;1;250;1;2;0;1;11;14;-41
54;3;12;0;0;0;1;249;1;2;0;1;12;15;-42
55;3;13;1;0;1;1;274;3;3;0;2;13;18;-17
56;3;14;0;0;0;1;189;1;3;0;2;14;19;-102
57;3;15;0;0;0;1;200;1;3;0;2;15;20;-91
58;3;16;1;0;1;1;278;3;4;0;3;16;23;-13
59;3;17;0;0;0;0;291;0;4;0;3;16;23;0
60;4;1;1;1;1;1;184;4;1;1;1;1;4;-57
61;4;2;1;1;0;1;181;3;2;2;1;2;7;-60
62;4;3;1;1;1;1;198;4;3;3;2;3;11;-43
63;4;4;0;1;0;1;221;2;3;4;2;4;13;-20
64;4;5;1;1;0;1;220;3;4;5;2;5;16;-21
65;4;6;0;1;0;1;213;2;4;6;2;6;18;-28
66;4;7;0;1;0;1;228;2;4;7;2;7;20;-13
67;4;8;1;1;0;1;220;3;5;8;2;8;23;-21
68;4;9;1;1;0;1;226;3;6;9;2;9;26;-15
69;4;10;1;1;0;1;220;3;7;10;2;10;29;-21
70;4;11;1;1;0;1;191;3;8;11;2;11;32;-50
71;4;12;0;1;0;1;227;2;8;12;2;12;34;-14
72;4;13;1;1;0;1;182;3;9;13;2;13;37;-59
73;4;14;1;1;0;1;180;3;10;14;2;14;40;-61
74;4;15;1;1;0;1;225;3;11;15;2;15;43;-16
75;4;16;1;1;0;1;220;3;12;16;2;16;46;-21
76;4;17;1;1;1;1;226;4;13;17;3;17;50;-15
77;4;18;0;1;0;1;228;2;13;18;3;18;52;-13
78;4;19;1;1;0;1;228;3;14;19;3;19;55;-13
79;4;20;1;1;0;1;181;3;15;20;3;20;58;-60
80;4;21;0;1;0;1;228;2;15;21;3;21;60;-13
81;4;22;0;1;1;1;237;3;15;22;4;22;63;-4
82;4;23;0;0;0;1;241;1;15;22;4;23;64;0
83;4;24;1;1;0;1;237;3;16;23;4;24;67;-4
84;4;25;0;0;0;0;241;0;16;23;4;24;67;0
85;5;1;0;0;0;0;293;0;0;0;0;0;0;0
86;6;1;1;0;1;1;295;3;1;0;1;1;3;-70
87;6;2;1;1;1;1;208;4;2;1;2;2;7;-157
88;6;3;1;0;1;1;247;3;3;1;3;3;10;-118
89;6;4;1;0;1;1;408;3;4;1;4;4;13;43
90;6;4;0;0;0;1;313;1;4;1;4;5;14;-52
91;6;5;0;0;1;1;331;2;4;1;5;6;16;-34
92;6;6;0;0;1;1;311;2;4;1;6;7;18;-54
93;6;7;0;0;0;1;313;1;4;1;6;8;19;-52
94;6;8;0;0;1;1;333;2;4;1;7;9;21;-32
95;6;9;0;0;1;1;325;2;4;1;8;10;23;-40
96;6;10;0;0;0;0;365;0;4;1;8;10;23;0
